sample,BranchLength,BranchVolume,DBHcyl,DBHqsm,LengthBranchOrder,LengthCylDiam,MaxBranchOrder,NumberBranchOrder,NumberBranches,TotalArea,TotalVolume,TreeHeight,TrunkLength,TrunkVolume,VolumeBranchOrder,VolumeCylDiam,PA,IoU,DSC,MSE,NHD
T390,2.9586515,10.139571,0.105003454,0.105003454,0.02405324,0.7796343,2,3,4,1.1197308,35.93386,1.4448748,1.7582483,25.79429,9.330351,0.015308084,0.877916667,0.791136154,0.883364959,0.122083333,0.118573466
T391,8.125179,7.594778,0.060038526,0.060038526,0.054621138,0.8912549,3,6,11,1.3657402,26.22528,3.599824,2.3982034,18.630503,7.126923,0.04703341,0.806666667,0.718462824,0.83242349,0.193333333,0.017964741
T392,26.130352,23.367441,0.06354322,0.06354322,0.14651512,3.7218869,4,13,32,3.071804,33.9712,4.009413,4.014492,10.603757,16.545055,0.14707127,0.741666667,0.552264808,0.710800311,0.258333333,0.055513583
T393,1288.6904,3833.8816,0.44362265,0.44750732,1.1682076,86.27233,8,32,1350,225.89989,4982.319,20.496191,21.076855,1148.4376,859.0923,1.8720897,0.725694444,0.481442206,0.649756681,0.274305556,0.010921615
T394,326.0381,720.4745,0.24394713,0.24685094,0.5583395,13.856457,6,21,366,59.78411,1237.8097,19.193281,19.852392,517.33514,192.3022,0.2798663,0.813636364,0.683625953,0.811603107,0.186363636,0.013062725
T395,514.45795,730.8509,0.17721461,0.1787355,0.6663325,48.694534,7,27,484,62.894558,795.6364,9.792205,11.663069,64.78552,200.08846,1.2257104,0.958333333,0.932098765,0.963407662,0.041666667,0.049881624
T396,2.8443673,7.365394,0.10840107,0.10840107,0.016268013,0,2,1,3,0.93222106,16.736538,0.54652977,1.6973822,9.371143,4.2810984,0,0.709259259,0.544283414,0.703667214,0.290740741,0.045418668
T397,17.49925,125.95361,0.005,0.005,0.04097258,0.7908596,5,1,15,5.0440965,150.67436,2.7282772,1.3599839,24.720758,65.888794,0.015528492,0.955304929,0.921067014,0.95824515,0.044695071,0.02951776
T398,610.04,2531.5288,0.35537988,0.35537988,0.79450834,38.338764,6,25,501,123.51397,3197.3545,19.004229,19.131044,665.82544,1112.5791,0.7089838,0.961835749,0.919487408,0.957727959,0.038164251,0.026158275
T399,14.67025,36.40483,0.19066003,0.19066003,0.07958758,0.16568127,2,3,8,3.860391,148.24995,2.2551184,1.6330422,111.84514,22.261574,0.003253144,0.807957393,0.684706654,0.812694059,0.192042607,0.017793277
